SAMPLE,YEAR,RW,LW,BI,EW,RWLOG,LWLOG,BILOG,EWLOG
B08,1936,1.53,0.49,73.36,1.04,0.18,-0.31,1.87,0.02
B14,1936,0.87,0.26,73.08,0.61,-0.06,-0.58,1.86,-0.22
B15,1936,1.21,0.38,74.13,0.83,0.08,-0.42,1.87,-0.08
B16,1936,1.18,0.36,70.60,0.81,0.07,-0.44,1.85,-0.09
B18,1936,0.89,0.29,53.21,0.60,-0.05,-0.54,1.73,-0.22
G114,1936,0.86,0.21,95.52,0.65,-0.07,-0.68,1.98,-0.19
G127,1936,0.57,0.20,76.39,0.37,-0.24,-0.70,1.88,-0.43
G128,1936,2.08,0.48,77.17,1.60,0.32,-0.32,1.89,0.20
G130,1936,0.58,0.14,62.87,0.44,-0.24,-0.85,1.80,-0.36
G201,1936,4.37,1.09,44.73,3.28,0.64,0.04,1.65,0.52
G202,1936,5.10,1.32,66.58,3.78,0.71,0.12,1.82,0.58
G204,1936,1.49,0.31,97.56,1.17,0.17,-0.50,1.99,0.07
G205,1936,1.55,0.55,72.77,1.00,0.19,-0.26,1.86,0.00
G207,1936,1.41,0.26,33.74,1.14,0.15,-0.58,1.53,0.06
G208,1936,1.34,0.28,56.35,1.06,0.13,-0.55,1.75,0.03
G212,1936,1.03,0.30,77.53,0.73,0.01,-0.53,1.89,-0.13
G213,1936,1.03,0.20,70.50,0.83,0.01,-0.70,1.85,-0.08
G214,1936,0.94,0.22,84.36,0.72,-0.03,-0.66,1.93,-0.14
G216,1936,2.33,0.50,62.04,1.83,0.37,-0.30,1.79,0.26
G217,1936,1.10,0.25,73.75,0.86,0.04,-0.61,1.87,-0.07
G221,1936,1.70,0.28,92.74,1.42,0.23,-0.55,1.97,0.15
G301,1936,2.10,0.33,87.15,1.77,0.32,-0.48,1.94,0.25
G302,1936,2.29,0.57,104.31,1.72,0.36,-0.24,2.02,0.24
G306,1936,1.12,0.23,83.31,0.89,0.05,-0.64,1.92,-0.05
G311,1936,1.39,0.20,89.04,1.19,0.14,-0.70,1.95,0.08
G313,1936,1.30,0.20,86.42,1.10,0.11,-0.70,1.94,0.04
G315,1936,1.52,0.36,81.96,1.17,0.18,-0.45,1.91,0.07
G319,1936,0.75,0.30,81.27,0.45,-0.12,-0.52,1.91,-0.35
G321,1936,0.87,0.24,95.65,0.63,-0.06,-0.62,1.98,-0.20
G431,1936,0.99,0.29,80.18,0.69,-0.01,-0.54,1.90,-0.16
G433,1936,1.05,0.34,84.58,0.71,0.02,-0.46,1.93,-0.15
G434,1936,1.06,0.29,88.90,0.77,0.03,-0.53,1.95,-0.11
G436,1936,0.78,0.19,73.54,0.59,-0.11,-0.72,1.87,-0.23
G437,1936,0.84,0.20,67.29,0.64,-0.08,-0.70,1.83,-0.19
G438,1936,0.62,0.17,98.39,0.45,-0.21,-0.77,1.99,-0.35
G439,1936,0.70,0.17,71.30,0.53,-0.15,-0.77,1.85,-0.28
G440,1936,1.27,0.35,84.24,0.92,0.10,-0.46,1.93,-0.04
G501,1936,1.56,0.31,74.78,1.26,0.19,-0.52,1.87,0.10
B08,1937,0.73,0.31,71.08,0.42,-0.14,-0.51,1.85,-0.38
B14,1937,0.89,0.21,60.27,0.68,-0.05,-0.67,1.78,-0.17
B15,1937,0.48,0.10,53.11,0.38,-0.32,-1.00,1.73,-0.42
B16,1937,0.58,0.11,58.02,0.47,-0.24,-0.94,1.76,-0.33
B18,1937,0.55,0.20,54.20,0.35,-0.26,-0.69,1.73,-0.46
G114,1937,0.26,0.07,47.20,0.19,-0.59,-1.15,1.67,-0.73
G127,1937,0.12,0.05,42.11,0.07,-0.92,-1.30,1.62,-1.15
G128,1937,0.53,0.08,25.65,0.45,-0.27,-1.09,1.41,-0.34
G130,1937,1.18,0.22,60.33,0.95,0.07,-0.66,1.78,-0.02
G201,1937,2.40,1.01,59.77,1.39,0.38,0.00,1.78,0.14
G202,1937,2.55,1.36,68.64,1.19,0.41,0.13,1.84,0.08
G204,1937,0.89,0.15,85.29,0.74,-0.05,-0.82,1.93,-0.13
G205,1937,0.65,0.19,71.03,0.46,-0.18,-0.72,1.85,-0.33
G207,1937,0.95,0.20,35.77,0.75,-0.02,-0.71,1.55,-0.12
